Найменування, кількість, ціна, додатково, виконано
Елем. Пельтьє TEC1-12706, 4 шт, 66грн, https://beegreen.com.ua/element-peltye-tec1-12706-60-72w-4smx4sm-10495,
Лист фанери, 1шт, , ,
Пінопласт, 2 листи,,,
Фольга, 1 рулон,,,
Радіатор, 4шт,,,
Кулер, 4шт,,,
Фітолінійка,,~150грн/м,,
Arduino, 1шт,,,
Дисплей 16х2,1шт, 54.5 грн, https://beegreen.com.ua/displej-1602a-sinij-hd44780-arduino-avr-pic-10172,
Проводи, -,,,
Кнопки/крутілки, -,,,
DHT22/AM2320, 2 шт, 70.3 грн,https://beegreen.com.ua/datchik-temperaturi-vologosti-am2320-10947,
БЖ, 1шт,,,  
Ущільнювач для дверей, 3м, ~10 грн/пог. м.,,
Рояльна завіса, 1м, ~50грн,,
